District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Dolpa,Male,Non-Economic,8,46
 Dolpa,Male,Non-Economic,9,  41
 Dolpa,Male,Non-Economic,10,  133
 Dolpa,Male,Non-Economic,11,10
 Dolpa,Male,Non-Economic,12, 4001
 Dolpa,Female,Economic,0, 4038
 Dolpa,Female,Economic,1,  17
 Dolpa,Female,Economic,2,  108
 Dolpa,Female,Economic,3,83
 Dolpa,Female,Economic,4,  247
 Dolpa,Female,Economic,5, 290
 Dolpa,Female,Economic,6,  2537
 Dolpa,Female,Economic,7,639
 Dolpa,Female,Economic,8,1915
 Dolpa,Female,Economic,9, 493
 Dolpa,Female,Economic,10,1680
 Dolpa,Female,Economic,11,78
 Dolpa,Female,Economic,12, 1167
 Dolpa,Female,Extended Economic,0, 9908
 Dolpa,Female,Extended Economic,1, 541
 Dolpa,Female,Extended Economic,2,1244
 Dolpa,Female,Extended Economic,3,  795
 Dolpa,Female,Extended Economic,4,  486
 Dolpa,Female,Extended Economic,5,  58
 Dolpa,Female,Extended Economic,6, 146
 Dolpa,Female,Extended Economic,7, 14
 Dolpa,Female,Extended Economic,8,21
 Dolpa,Female,Extended Economic,9,7
 Dolpa,Female,Extended Economic,10,53
 Dolpa,Female,Extended Economic,11, 0
 Dolpa,Female,Extended Economic,12, 19
 Dolpa,Female,Seeking job,0,13138
 Dolpa,Female,Seeking job,1,  23
 Dolpa,Female,Seeking job,2,69
 Dolpa,Female,Seeking job,3,19
 Dolpa,Female,Seeking job,4,26
 Dolpa,Female,Seeking job,5,6
 Dolpa,Female,Seeking job,6,9
 Dolpa,Female,Seeking job,7,  1
 Dolpa,Female,Seeking job,8, 0
 Dolpa,Female,Seeking job,9,0
 Dolpa,Female,Seeking job,10, 0
 Dolpa,Female,Seeking job,11, 0
 Dolpa,Female,Seeking job,12,  1
 Dolpa,Female,Non-Economic,0,1725
 Dolpa,Female,Non-Economic,1, 293
 Dolpa,Female,Non-Economic,2,2358
 Dolpa,Female,Non-Economic,3,  878
 Dolpa,Female,Non-Economic,4,2086
 Dolpa,Female,Non-Economic,5, 302
 Dolpa,Female,Non-Economic,6,  1345
 Dolpa,Female,Non-Economic,7,171
 Dolpa,Female,Non-Economic,8,  147
 Dolpa,Female,Non-Economic,9,  45
 Dolpa,Female,Non-Economic,10,  101
 Dolpa,Female,Non-Economic,11,13
 Dolpa,Female,Non-Economic,12, 3828
 Jumla,Male,Economic,0, 13934
 Jumla,Male,Economic,1,204
 Jumla,Male,Economic,2,880
 Jumla,Male,Economic,3, 241
 Jumla,Male,Economic,4,145
 Jumla,Male,Economic,5, 197
 Jumla,Male,Economic,6,  1541
 Jumla,Male,Economic,7,907
 Jumla,Male,Economic,8,2503
 Jumla,Male,Economic,9,1635
 Jumla,Male,Economic,10,3616
 Jumla,Male,Economic,11,  820
 Jumla,Male,Economic,12,11363
 Jumla,Male,Extended Economic,0, 31879
 Jumla,Male,Extended Economic,1, 1535
 Jumla,Male,Extended Economic,2, 2555
 Jumla,Male,Extended Economic,3, 947
 Jumla,Male,Extended Economic,4,597
 Jumla,Male,Extended Economic,5,  66
 Jumla,Male,Extended Economic,6, 190
 Jumla,Male,Extended Economic,7, 16
 Jumla,Male,Extended Economic,8,56
 Jumla,Male,Extended Economic,9,16
 Jumla,Male,Extended Economic,10,41
 Jumla,Male,Extended Economic,11, 0
 Jumla,Male,Extended Economic,12, 89
 Jumla,Male,Seeking job,0, 35286
 Jumla,Male,Seeking job,1,666
 Jumla,Male,Seeking job,2, 1118
 Jumla,Male,Seeking job,3, 348
 Jumla,Male,Seeking job,4,267
 Jumla,Male,Seeking job,5,  55
 Jumla,Male,Seeking job,6,  83
 Jumla,Male,Seeking job,7,  0
 Jumla,Male,Seeking job,8,16
 Jumla,Male,Seeking job,9, 8
 Jumla,Male,Seeking job,10,33
 Jumla,Male,Seeking job,11, 9
 Jumla,Male,Seeking job,12, 98
 Jumla,Male,Non-Economic,0,15152
 Jumla,Male,Non-Economic,1, 1382
 Jumla,Male,Non-Economic,2, 3109
 Jumla,Male,Non-Economic,3,  1267
 Jumla,Male,Non-Economic,4, 1303
 Jumla,Male,Non-Economic,5, 345
 Jumla,Male,Non-Economic,6, 454
 Jumla,Male,Non-Economic,7,115
 Jumla,Male,Non-Economic,8,  151
 Jumla,Male,Non-Economic,9,  214
 Jumla,Male,Non-Economic,10,1077
 Jumla,Male,Non-Economic,11,  195
 Jumla,Male,Non-Economic,12,13223
 Jumla,Female,Economic,0,  12864
 Jumla,Female,Economic,1, 144
 Jumla,Female,Economic,2,512
 Jumla,Female,Economic,3, 356
 Jumla,Female,Economic,4,336
 Jumla,Female,Economic,5,  284
 Jumla,Female,Economic,6, 3991
 Jumla,Female,Economic,7,  1697
 Jumla,Female,Economic,8,  5362
 Jumla,Female,Economic,9,1530
 Jumla,Female,Economic,10,4402
 Jumla,Female,Economic,11,  440
 Jumla,Female,Economic,12, 6397
 Jumla,Female,Extended Economic,0,  30667
 Jumla,Female,Extended Economic,1,  1407
 Jumla,Female,Extended Economic,2, 3061
 Jumla,Female,Extended Economic,3,  1892
 Jumla,Female,Extended Economic,4,851
 Jumla,Female,Extended Economic,5,39
 Jumla,Female,Extended Economic,6,279
 Jumla,Female,Extended Economic,7,8
 Jumla,Female,Extended Economic,8,  25
 Jumla,Female,Extended Economic,9,16
 Jumla,Female,Extended Economic,10,32
 Jumla,Female,Extended Economic,11, 0
 Jumla,Female,Extended Economic,12, 38
 Jumla,Female,Seeking job,0,  37672
 Jumla,Female,Seeking job,1, 138
 Jumla,Female,Seeking job,2,240
 Jumla,Female,Seeking job,3, 137
 Jumla,Female,Seeking job,4, 71
 Jumla,Female,Seeking job,5, 8
 Jumla,Female,Seeking job,6, 32
 Jumla,Female,Seeking job,7,0
 Jumla,Female,Seeking job,8,8
 Jumla,Female,Seeking job,9, 0
 Jumla,Female,Seeking job,10, 0
 Jumla,Female,Seeking job,11, 0
 Jumla,Female,Seeking job,12,  8
 Jumla,Female,Non-Economic,0,  8312
 Jumla,Female,Non-Economic,1,  1061
 Jumla,Female,Non-Economic,2, 5737
 Jumla,Female,Non-Economic,3,  2436
 Jumla,Female,Non-Economic,4, 3805
 Jumla,Female,Non-Economic,5,1033
 Jumla,Female,Non-Economic,6, 1993
 Jumla,Female,Non-Economic,7, 202
 Jumla,Female,Non-Economic,8, 278
 Jumla,Female,Non-Economic,9,  214
 Jumla,Female,Non-Economic,10,  628
 Jumla,Female,Non-Economic,11,  121
 Jumla,Female,Non-Economic,12,12495
 Kalikot,Male,Economic,0,18123
 Kalikot,Male,Economic,1, 357
 Kalikot,Male,Economic,2, 1821
 Kalikot,Male,Economic,3, 350
 Kalikot,Male,Economic,4,692
 Kalikot,Male,Economic,5, 295
 Kalikot,Male,Economic,6,  2298
 Kalikot,Male,Economic,7,874
 Kalikot,Male,Economic,8,2749
 Kalikot,Male,Economic,9,1452
 Kalikot,Male,Economic,10,4887
 Kalikot,Male,Economic,11,1134
 Kalikot,Male,Economic,12,11551
 Kalikot,Male,Extended Economic,0,40328
 Kalikot,Male,Extended Economic,1,  1442
 Kalikot,Male,Extended Economic,2, 2557
 Kalikot,Male,Extended Economic,3, 722
 Kalikot,Male,Extended Economic,4,823
 Kalikot,Male,Extended Economic,5,  91
 Kalikot,Male,Extended Economic,6, 371
 Kalikot,Male,Extended Economic,7, 33
 Kalikot,Male,Extended Economic,8,72
 Kalikot,Male,Extended Economic,9,15
 Kalikot,Male,Extended Economic,10,56
 Kalikot,Male,Extended Economic,11, 0
 Kalikot,Male,Extended Economic,12, 72
 Kalikot,Male,Seeking job,0,41267
 Kalikot,Male,Seeking job,1,  1313
 Kalikot,Male,Seeking job,2, 2134
 Kalikot,Male,Seeking job,3, 474
 Kalikot,Male,Seeking job,4,608
 Kalikot,Male,Seeking job,5, 212
 Kalikot,Male,Seeking job,6, 320
 Kalikot,Male,Seeking job,7, 34
 Kalikot,Male,Seeking job,8,57
 Kalikot,Male,Seeking job,9, 9
 Kalikot,Male,Seeking job,10,90
 Kalikot,Male,Seeking job,11, 0
 Kalikot,Male,Seeking job,12, 64
 Kalikot,Male,Non-Economic,0,  16969
 Kalikot,Male,Non-Economic,1,  1487
 Kalikot,Male,Non-Economic,2, 4111
 Kalikot,Male,Non-Economic,3,  1026
 Kalikot,Male,Non-Economic,4, 1173
 Kalikot,Male,Non-Economic,5, 326
 Kalikot,Male,Non-Economic,6, 976
 Kalikot,Male,Non-Economic,7, 90
 Kalikot,Male,Non-Economic,8,  544
 Kalikot,Male,Non-Economic,9,  294
 Kalikot,Male,Non-Economic,10,2195
 Kalikot,Male,Non-Economic,11,  372
 Kalikot,Male,Non-Economic,12,17020
 Kalikot,Female,Economic,0,  18351
 Kalikot,Female,Economic,1, 340
 Kalikot,Female,Economic,2, 1986
 Kalikot,Female,Economic,3, 643
 Kalikot,Female,Economic,4, 1246
 Kalikot,Female,Economic,5,  759
 Kalikot,Female,Economic,6, 5283
 Kalikot,Female,Economic,7,  1437
 Kalikot,Female,Economic,8,  4117
 Kalikot,Female,Economic,9,1149
 Kalikot,Female,Economic,10,4892
 Kalikot,Female,Economic,11,  512
 Kalikot,Female,Economic,12, 6111
 Kalikot,Female,Extended Economic,0,  40624
 Kalikot,Female,Extended Economic,1,  1203
 Kalikot,Female,Extended Economic,2, 2386
 Kalikot,Female,Extended Economic,3, 884
 Kalikot,Female,Extended Economic,4,878
 Kalikot,Female,Extended Economic,5,  151
 Kalikot,Female,Extended Economic,6,411
 Kalikot,Female,Extended Economic,7,  41
 Kalikot,Female,Extended Economic,8, 134
 Kalikot,Female,Extended Economic,9, 0
 Kalikot,Female,Extended Economic,10,41
 Kalikot,Female,Extended Economic,11, 0
 Kalikot,Female,Extended Economic,12, 72
 Kalikot,Female,Seeking job,0,  45876
 Kalikot,Female,Seeking job,1, 237
 Kalikot,Female,Seeking job,2,387
 Kalikot,Female,Seeking job,3, 148
 Kalikot,Female,Seeking job,4, 81
 Kalikot,Female,Seeking job,5, 0
 Kalikot,Female,Seeking job,6, 41
 Kalikot,Female,Seeking job,7,0
 Kalikot,Female,Seeking job,8,  16
 Kalikot,Female,Seeking job,9, 0
 Kalikot,Female,Seeking job,10,25
 Kalikot,Female,Seeking job,11, 0
 Kalikot,Female,Seeking job,12, 16
 Kalikot,Female,Non-Economic,0,  7839
 Kalikot,Female,Non-Economic,1, 679
 Kalikot,Female,Non-Economic,2, 5809
 Kalikot,Female,Non-Economic,3,  1700
 Kalikot,Female,Non-Economic,4, 3980
 Kalikot,Female,Non-Economic,5,1119
 Kalikot,Female,Non-Economic,6, 3668
 Kalikot,Female,Non-Economic,7, 501
 Kalikot,Female,Non-Economic,8, 892
 Kalikot,Female,Non-Economic,9,  493
 Kalikot,Female,Non-Economic,10,2039
 Kalikot,Female,Non-Economic,11,  301
 Kalikot,Female,Non-Economic,12,17807
 Mugu,Male,Economic,0,  6422
 Mugu,Male,Economic,1,  94
 Mugu,Male,Economic,2,  899
 Mugu,Male,Economic,3,92
 Mugu,Male,Economic,4,259
 Mugu,Male,Economic,5, 99
 Mugu,Male,Economic,6,  1261
 Mugu,Male,Economic,7,536
 Mugu,Male,Economic,8,2480
 Mugu,Male,Economic,9, 927
 Mugu,Male,Economic,10,2447
 Mugu,Male,Economic,11,  337
 Mugu,Male,Economic,12, 3237
 Mugu,Male,Extended Economic,0, 15100
 Mugu,Male,Extended Economic,1, 770
 Mugu,Male,Extended Economic,2,2013
 Mugu,Male,Extended Economic,3,  490
 Mugu,Male,Extended Economic,4,433
 Mugu,Male,Extended Economic,5, 51
 Mugu,Male,Extended Economic,6,  91
 Mugu,Male,Extended Economic,7, 14
 Mugu,Male,Extended Economic,8,61
 Mugu,Male,Extended Economic,9,7
 Mugu,Male,Extended Economic,10,31
 Mugu,Male,Extended Economic,11, 3
 Mugu,Male,Extended Economic,12, 26
 Mugu,Male,Seeking job,0, 17173
 Mugu,Male,Seeking job,1, 421
 Mugu,Male,Seeking job,2,  903
 Mugu,Male,Seeking job,3,  114
 Mugu,Male,Seeking job,4,327
 Mugu,Male,Seeking job,5, 61
 Mugu,Male,Seeking job,6,  54
 Mugu,Male,Seeking job,7,  4
 Mugu,Male,Seeking job,8,11
 Mugu,Male,Seeking job,9,1
 Mugu,Male,Seeking job,10, 9
 Mugu,Male,Seeking job,11, 1
 Mugu,Male,Seeking job,12, 11
 Mugu,Male,Non-Economic,0, 5789
 Mugu,Male,Non-Economic,1, 740
 Mugu,Male,Non-Economic,2,2467
 Mugu,Male,Non-Economic,3,  612
 Mugu,Male,Non-Economic,4,994
 Mugu,Male,Non-Economic,5,158
 Mugu,Male,Non-Economic,6, 822
 Mugu,Male,Non-Economic,7, 45
 Mugu,Male,Non-Economic,8,  167
 Mugu,Male,Non-Economic,9,  80
 Mugu,Male,Non-Economic,10,1092
 Mugu,Male,Non-Economic,11,95
 Mugu,Male,Non-Economic,12, 6029
 Mugu,Female,Economic,0,5552
 Mugu,Female,Economic,1,86
 Mugu,Female,Economic,2,  526
 Mugu,Female,Economic,3,  68
 Mugu,Female,Economic,4,259
 Mugu,Female,Economic,5, 137
 Mugu,Female,Economic,6,  2252
 Mugu,Female,Economic,7,  1008
 Mugu,Female,Economic,8,  4214
 Mugu,Female,Economic,9,1002
 Mugu,Female,Economic,10,  2308
 Mugu,Female,Economic,11,  105
 Mugu,Female,Economic,12, 1396
 Mugu,Female,Extended Economic,0,  15805
 Mugu,Female,Extended Economic,1,  715
 Mugu,Female,Extended Economic,2,1512
 Mugu,Female,Extended Economic,3, 513
 Mugu,Female,Extended Economic,4,249
 Mugu,Female,Extended Economic,5,  29
 Mugu,Female,Extended Economic,6,  34
 Mugu,Female,Extended Economic,7,4
 Mugu,Female,Extended Economic,8,  32
 Mugu,Female,Extended Economic,9, 1
 Mugu,Female,Extended Economic,10,5
 Mugu,Female,Extended Economic,11, 1
 Mugu,Female,Extended Economic,12, 13
 Mugu,Female,Seeking job,0,  18528
 Mugu,Female,Seeking job,1,  111
 Mugu,Female,Seeking job,2,  162
 Mugu,Female,Seeking job,3,  28
 Mugu,Female,Seeking job,4, 65
 Mugu,Female,Seeking job,5,  13
 Mugu,Female,Seeking job,6,1
 Mugu,Female,Seeking job,7,0
 Mugu,Female,Seeking job,8,2
 Mugu,Female,Seeking job,9, 0
 Mugu,Female,Seeking job,10,0
 Mugu,Female,Seeking job,11, 0
 Mugu,Female,Seeking job,12,  3
 Mugu,Female,Non-Economic,0,  1750
 Mugu,Female,Non-Economic,1,  364
 Mugu,Female,Non-Economic,2,3307
 Mugu,Female,Non-Economic,3,  1411
 Mugu,Female,Non-Economic,4, 3711
 Mugu,Female,Non-Economic,5, 543
 Mugu,Female,Non-Economic,6,  1412
 Mugu,Female,Non-Economic,7,  59
 Mugu,Female,Non-Economic,8, 213
 Mugu,Female,Non-Economic,9,63
 Mugu,Female,Non-Economic,10, 609
 Mugu,Female,Non-Economic,11,95
 Mugu,Female,Non-Economic,12, 5376
 Humla,Male,Economic,0,  6664
 Humla,Male,Economic,1, 27
 Humla,Male,Economic,2, 86
 Humla,Male,Economic,3,  50
 Humla,Male,Economic,4, 118
 Humla,Male,Economic,5,222
 Humla,Male,Economic,6,  924
 Humla,Male,Economic,7,  892
 Humla,Male,Economic,8,1844
 Humla,Male,Economic,9,1425
 Humla,Male,Economic,10,  2037
 Humla,Male,Economic,11,  709
 Humla,Male,Economic,12, 3018
 Humla,Male,Extended Economic,0, 11261
 Humla,Male,Extended Economic,1, 1276
 Humla,Male,Extended Economic,2, 2761
 Humla,Male,Extended Economic,3,  1532
 Humla,Male,Extended Economic,4, 993
 Humla,Male,Extended Economic,5,105
 Humla,Male,Extended Economic,6,67
 Humla,Male,Extended Economic,7, 4
 Humla,Male,Extended Economic,8, 8
 Humla,Male,Extended Economic,9, 0
 Humla,Male,Extended Economic,10,5
 Humla,Male,Extended Economic,11, 0
 Humla,Male,Extended Economic,12,  3
 Humla,Male,Seeking job,0, 17133
 Humla,Male,Seeking job,1,416
 Humla,Male,Seeking job,2,346
 Humla,Male,Seeking job,3,  79
 Humla,Male,Seeking job,4,  25
 Humla,Male,Seeking job,5,  5
 Humla,Male,Seeking job,6, 3
 Humla,Male,Seeking job,7, 1
 Humla,Male,Seeking job,8, 2
 Humla,Male,Seeking job,9, 0
 Humla,Male,Seeking job,10,1
 Humla,Male,Seeking job,11, 0
 Humla,Male,Seeking job,12,  3
 Humla,Male,Non-Economic,0, 6129
 Humla,Male,Non-Economic,1, 1306
 Humla,Male,Non-Economic,2, 2286
 Humla,Male,Non-Economic,3, 841
 Humla,Male,Non-Economic,4, 380
 Humla,Male,Non-Economic,5,116
 Humla,Male,Non-Economic,6,  136
 Humla,Male,Non-Economic,7,37
 Humla,Male,Non-Economic,8,52
 Humla,Male,Non-Economic,9,45
 Humla,Male,Non-Economic,10,  74
 Humla,Male,Non-Economic,11,17
 Humla,Male,Non-Economic,12, 6596
 Humla,Female,Economic,0, 5100
 Humla,Female,Economic,1, 40
 Humla,Female,Economic,2,127
 Humla,Female,Economic,3, 144
 Humla,Female,Economic,4,291
 Humla,Female,Economic,5, 533
 Humla,Female,Economic,6,  2606
 Humla,Female,Economic,7,  1969
 Humla,Female,Economic,8,  3212
 Humla,Female,Economic,9,1304
 Humla,Female,Economic,10,  1186
 Humla,Female,Economic,11,  317
 Humla,Female,Economic,12,748
 Humla,Female,Extended Economic,0, 9277
 Humla,Female,Extended Economic,1, 1453
 Humla,Female,Extended Economic,2, 3579
 Humla,Female,Extended Economic,3,  2097
 Humla,Female,Extended Economic,4,877
 Humla,Female,Extended Economic,5, 135
 Humla,Female,Extended Economic,6, 137
 Humla,Female,Extended Economic,7,9
 Humla,Female,Extended Economic,8,7
 Humla,Female,Extended Economic,9, 1
 Humla,Female,Extended Economic,10,5
 Humla,Female,Extended Economic,11, 0
 Humla,Female,Extended Economic,12,  0
 Humla,Female,Seeking job,0,17354
 Humla,Female,Seeking job,1, 57
 Humla,Female,Seeking job,2, 84
 Humla,Female,Seeking job,3,  41
 Humla,Female,Seeking job,4, 30
 Humla,Female,Seeking job,5,4
 Humla,Female,Seeking job,6,4
 Humla,Female,Seeking job,7,1
 Humla,Female,Seeking job,8,0
 Humla,Female,Seeking job,9, 0
 Humla,Female,Seeking job,10,0
 Humla,Female,Seeking job,11, 0
 Humla,Female,Seeking job,12,  2
 Humla,Female,Non-Economic,0,1547
 Humla,Female,Non-Economic,1,823
 Humla,Female,Non-Economic,2, 3773
 Humla,Female,Non-Economic,3,  2675
 Humla,Female,Non-Economic,4, 2370
 Humla,Female,Non-Economic,5, 488
 Humla,Female,Non-Economic,6, 566
 Humla,Female,Non-Economic,7,  89
 Humla,Female,Non-Economic,8,  81
 Humla,Female,Non-Economic,9,61
 Humla,Female,Non-Economic,10,  85
 Humla,Female,Non-Economic,11,28
 Humla,Female,Non-Economic,12, 4989
 Bajura,Male,Economic,0, 17475
 Bajura,Male,Economic,1,472
 Bajura,Male,Economic,2,923
 Bajura,Male,Economic,3, 341
 Bajura,Male,Economic,4,383
 Bajura,Male,Economic,5, 217
 Bajura,Male,Economic,6,  3179
 Bajura,Male,Economic,7,851
 Bajura,Male,Economic,8, 3217
 Bajura,Male,Economic,9,1970
 Bajura,Male,Economic,10,3778
 Bajura,Male,Economic,11,  985
 Bajura,Male,Economic,12,11146
 Bajura,Male,Extended Economic,0, 36234
 Bajura,Male,Extended Economic,1, 1822
 Bajura,Male,Extended Economic,2, 3710
 Bajura,Male,Extended Economic,3,  1264
 Bajura,Male,Extended Economic,4, 1044
 Bajura,Male,Extended Economic,5, 127
 Bajura,Male,Extended Economic,6, 458
 Bajura,Male,Extended Economic,7, 16
 Bajura,Male,Extended Economic,8, 71
 Bajura,Male,Extended Economic,9,25
 Bajura,Male,Extended Economic,10,72
 Bajura,Male,Extended Economic,11, 9
 Bajura,Male,Extended Economic,12, 87
 Bajura,Male,Seeking job,0, 41503
 Bajura,Male,Seeking job,1, 1114
 Bajura,Male,Seeking job,2, 1133
 Bajura,Male,Seeking job,3, 295
 Bajura,Male,Seeking job,4,470
 Bajura,Male,Seeking job,5,  72
 Bajura,Male,Seeking job,6, 248
 Bajura,Male,Seeking job,7, 16
 Bajura,Male,Seeking job,8, 32
 Bajura,Male,Seeking job,9, 0
 Bajura,Male,Seeking job,10, 8
 Bajura,Male,Seeking job,11, 0
 Bajura,Male,Seeking job,12, 48
 Bajura,Male,Non-Economic,0,16222
 Bajura,Male,Non-Economic,1, 1754
 Bajura,Male,Non-Economic,2, 3436
 Bajura,Male,Non-Economic,3,  1463
 Bajura,Male,Non-Economic,4, 1766
 Bajura,Male,Non-Economic,5, 366
 Bajura,Male,Non-Economic,6, 929
 Bajura,Male,Non-Economic,7,133
 Bajura,Male,Non-Economic,8,232
 Bajura,Male,Non-Economic,9,  250
 Bajura,Male,Non-Economic,10,1287
 Bajura,Male,Non-Economic,11,  521
 Bajura,Male,Non-Economic,12,16579
 Bajura,Female,Economic,0,  18235
 Bajura,Female,Economic,1, 448
 Bajura,Female,Economic,2, 1144
 Bajura,Female,Economic,3, 498
 Bajura,Female,Economic,4,881
 Bajura,Female,Economic,5,  700
 Bajura,Female,Economic,6, 6410
 Bajura,Female,Economic,7,  2241
 Bajura,Female,Economic,8,6428
 Bajura,Female,Economic,9,2120
 Bajura,Female,Economic,10,3919
 Bajura,Female,Economic,11,  336
 Bajura,Female,Economic,12, 5691
 Bajura,Female,Extended Economic,0,  37039
 Bajura,Female,Extended Economic,1,  2037
 Bajura,Female,Extended Economic,2, 5063
 Bajura,Female,Extended Economic,3,  2427
 Bajura,Female,Extended Economic,4, 1414
 Bajura,Female,Extended Economic,5,  338
 Bajura,Female,Extended Economic,6,475
 Bajura,Female,Extended Economic,7,  81
 Bajura,Female,Extended Economic,8,39
 Bajura,Female,Extended Economic,9,25
 Bajura,Female,Extended Economic,10,40
 Bajura,Female,Extended Economic,11, 0
 Bajura,Female,Extended Economic,12, 72
 Bajura,Female,Seeking job,0,  48348
 Bajura,Female,Seeking job,1, 163
 Bajura,Female,Seeking job,2,234
 Bajura,Female,Seeking job,3,  63
 Bajura,Female,Seeking job,4, 74
 Bajura,Female,Seeking job,5,32
 Bajura,Female,Seeking job,6, 49
 Bajura,Female,Seeking job,7,0
 Bajura,Female,Seeking job,8,32
 Bajura,Female,Seeking job,9, 8
 Bajura,Female,Seeking job,10, 0
 Bajura,Female,Seeking job,11, 0
 Bajura,Female,Seeking job,12, 47
 Bajura,Female,Non-Economic,0,  7711
 Bajura,Female,Non-Economic,1,  1162
 Bajura,Female,Non-Economic,2, 6387
 Bajura,Female,Non-Economic,3,  3653
 Bajura,Female,Non-Economic,4, 5550
 Bajura,Female,Non-Economic,5,1233
 Bajura,Female,Non-Economic,6, 2971
 Bajura,Female,Non-Economic,7, 334
 Bajura,Female,Non-Economic,8,  637
 Bajura,Female,Non-Economic,9,  439
 Bajura,Female,Non-Economic,10,1315
 Bajura,Female,Non-Economic,11,  471
 Bajura,Female,Non-Economic,12,17188
 Bajhang,Male,Economic,0,23643
 Bajhang,Male,Economic,1, 623
 Bajhang,Male,Economic,2, 3328
 Bajhang,Male,Economic,3, 733
 Bajhang,Male,Economic,4, 1602
 Bajhang,Male,Economic,5, 628
 Bajhang,Male,Economic,6,  4530
 Bajhang,Male,Economic,7,  1588
 Bajhang,Male,Economic,8,5200
 Bajhang,Male,Economic,9,3072
 Bajhang,Male,Economic,10,4555
 Bajhang,Male,Economic,11,1135
 Bajhang,Male,Economic,12,11734
 Bajhang,Male,Extended Economic,0,46700
 Bajhang,Male,Extended Economic,1,  2541
 Bajhang,Male,Extended Economic,2, 6520
 Bajhang,Male,Extended Economic,3,  2984
 Bajhang,Male,Extended Economic,4, 2481
 Bajhang,Male,Extended Economic,5, 251
 Bajhang,Male,Extended Economic,6, 518
 Bajhang,Male,Extended Economic,7,  50
 Bajhang,Male,Extended Economic,8,  164
 Bajhang,Male,Extended Economic,9, 8
 Bajhang,Male,Extended Economic,10,57
 Bajhang,Male,Extended Economic,11,17
 Bajhang,Male,Extended Economic,12, 82
 Bajhang,Male,Seeking job,0,57209
 Bajhang,Male,Seeking job,1,  1794
 Bajhang,Male,Seeking job,2, 1909
 Bajhang,Male,Seeking job,3, 528
 Bajhang,Male,Seeking job,4,430
 Bajhang,Male,Seeking job,5, 106
 Bajhang,Male,Seeking job,6, 180
 Bajhang,Male,Seeking job,7,8
 Bajhang,Male,Seeking job,8,75
 Bajhang,Male,Seeking job,9, 8
 Bajhang,Male,Seeking job,10,17
 Bajhang,Male,Seeking job,11, 8
 Bajhang,Male,Seeking job,12, 99
 Bajhang,Male,Non-Economic,0,  19703
 Bajhang,Male,Non-Economic,1,  1928
 Bajhang,Male,Non-Economic,2, 5134
 Bajhang,Male,Non-Economic,3,  2290
 Bajhang,Male,Non-Economic,4, 2581
 Bajhang,Male,Non-Economic,5, 734
 Bajhang,Male,Non-Economic,6,  1550
 Bajhang,Male,Non-Economic,7, 293
 Bajhang,Male,Non-Economic,8,1266
 Bajhang,Male,Non-Economic,9,  519
 Bajhang,Male,Non-Economic,10,3551
 Bajhang,Male,Non-Economic,11,  525
 Bajhang,Male,Non-Economic,12,22297
 Bajhang,Female,Economic,0,  24934
 Bajhang,Female,Economic,1, 921
 Bajhang,Female,Economic,2, 3535
 Bajhang,Female,Economic,3,  1308
 Bajhang,Female,Economic,4, 4690
 Bajhang,Female,Economic,5,1720
 Bajhang,Female,Economic,6,11951
 Bajhang,Female,Economic,7,  3110
 Bajhang,Female,Economic,8,8634
 Bajhang,Female,Economic,9,3241
 Bajhang,Female,Economic,10,4088
 Bajhang,Female,Economic,11,  485
 Bajhang,Female,Economic,12, 4829
 Bajhang,Female,Extended Economic,0,  50208
 Bajhang,Female,Extended Economic,1,  3347
 Bajhang,Female,Extended Economic,2, 9177
 Bajhang,Female,Extended Economic,3,  5260
 Bajhang,Female,Extended Economic,4, 3408
 Bajhang,Female,Extended Economic,5,  524
 Bajhang,Female,Extended Economic,6, 1093
 Bajhang,Female,Extended Economic,7,  16
 Bajhang,Female,Extended Economic,8,  137
 Bajhang,Female,Extended Economic,9, 8
 Bajhang,Female,Extended Economic,10,98
 Bajhang,Female,Extended Economic,11, 0
 Bajhang,Female,Extended Economic,12,171
 Bajhang,Female,Seeking job,0,  71274
 Bajhang,Female,Seeking job,1, 574
 Bajhang,Female,Seeking job,2,891
 Bajhang,Female,Seeking job,3, 194
 Bajhang,Female,Seeking job,4,250
 Bajhang,Female,Seeking job,5,47
 Bajhang,Female,Seeking job,6,104
 Bajhang,Female,Seeking job,7,0
 Bajhang,Female,Seeking job,8, 8
 Bajhang,Female,Seeking job,9, 0
 Bajhang,Female,Seeking job,10, 0
 Bajhang,Female,Seeking job,11, 8
 Bajhang,Female,Seeking job,12, 96
 Bajhang,Female,Non-Economic,0,  8430
 Bajhang,Female,Non-Economic,1,  1953
 Bajhang,Female,Non-Economic,2, 8520
 Bajhang,Female,Non-Economic,3,  5714
 Bajhang,Female,Non-Economic,4, 7951
 Bajhang,Female,Non-Economic,5,2160
 Bajhang,Female,Non-Economic,6, 6419
 Bajhang,Female,Non-Economic,7,  1100
 Bajhang,Female,Non-Economic,8,3553
 Bajhang,Female,Non-Economic,9,  750
 Bajhang,Female,Non-Economic,10,3393
 Bajhang,Female,Non-Economic,11,  617
 Bajhang,Female,Non-Economic,12,22887
 Achham,Male,Economic,0, 30951
 Achham,Male,Economic,1,645
 Achham,Male,Economic,2, 3233
 Achham,Male,Economic,3,  1162
 Achham,Male,Economic,4, 1862
 Achham,Male,Economic,5,  988
 Achham,Male,Economic,6, 7150
 Achham,Male,Economic,7,  2383
