District,Gender,Age-Group,Type of activity,Value
Pyuthan,Both Sexes,20 - 24 Years,Activity not stated,  88
Pyuthan,Both Sexes,25 - 29 Years,Economic only,2548
Pyuthan,Both Sexes,25 - 29 Years,Extended economic only,  8
Pyuthan,Both Sexes,25 - 29 Years,Seeking job only,0
Pyuthan,Both Sexes,25 - 29 Years,Non economic only, 602
Pyuthan,Both Sexes,25 - 29 Years,Activity not stated,  86
Pyuthan,Both Sexes,30 - 34 Years,Economic only,2475
Pyuthan,Both Sexes,30 - 34 Years,Extended economic only,  8
Pyuthan,Both Sexes,30 - 34 Years,Seeking job only,  17
Pyuthan,Both Sexes,30 - 34 Years,Non economic only, 343
Pyuthan,Both Sexes,30 - 34 Years,Activity not stated,  25
Pyuthan,Both Sexes,35 - 39 Years,Economic only,2162
Pyuthan,Both Sexes,35 - 39 Years,Extended economic only, 24
Pyuthan,Both Sexes,35 - 39 Years,Seeking job only,0
Pyuthan,Both Sexes,35 - 39 Years,Non economic only, 321
Pyuthan,Both Sexes,35 - 39 Years,Activity not stated,  17
Pyuthan,Both Sexes,40 - 44 Years,Economic only,2017
Pyuthan,Both Sexes,40 - 44 Years,Extended economic only, 24
Pyuthan,Both Sexes,40 - 44 Years,Seeking job only,0
Pyuthan,Both Sexes,40 - 44 Years,Non economic only, 314
Pyuthan,Both Sexes,40 - 44 Years,Activity not stated,8
Pyuthan,Both Sexes,45 - 49 Years,Economic only,1584
Pyuthan,Both Sexes,45 - 49 Years,Extended economic only,  0
Pyuthan,Both Sexes,45 - 49 Years,Seeking job only,0
Pyuthan,Both Sexes,45 - 49 Years,Non economic only, 401
Pyuthan,Both Sexes,45 - 49 Years,Activity not stated,8
Pyuthan,Both Sexes,50 - 54 Years,Economic only,1448
Pyuthan,Both Sexes,50 - 54 Years,Extended economic only,  0
Pyuthan,Both Sexes,50 - 54 Years,Seeking job only,0
Pyuthan,Both Sexes,50 - 54 Years,Non economic only, 520
Pyuthan,Both Sexes,50 - 54 Years,Activity not stated,8
Pyuthan,Both Sexes,55 - 59 Years,Economic only,  990
Pyuthan,Both Sexes,55 - 59 Years,Extended economic only,  0
Pyuthan,Both Sexes,55 - 59 Years,Seeking job only,0
Pyuthan,Both Sexes,55 - 59 Years,Non economic only, 511
Pyuthan,Both Sexes,55 - 59 Years,Activity not stated,  16
Pyuthan,Both Sexes,60 - 64 Years,Economic only,  759
Pyuthan,Both Sexes,60 - 64 Years,Extended economic only,  0
Pyuthan,Both Sexes,60 - 64 Years,Seeking job only,9
Pyuthan,Both Sexes,60 - 64 Years,Non economic only,  1383
Pyuthan,Both Sexes,60 - 64 Years,Activity not stated,9
Pyuthan,Both Sexes,65 - 69 Years,Economic only,  299
Pyuthan,Both Sexes,65 - 69 Years,Extended economic only,  8
Pyuthan,Both Sexes,65 - 69 Years,Seeking job only,0
Pyuthan,Both Sexes,65 - 69 Years,Non economic only,  1354
Pyuthan,Both Sexes,65 - 69 Years,Activity not stated,  24
Pyuthan,Both Sexes,70 - 74 Years,Economic only,  158
Pyuthan,Both Sexes,70 - 74 Years,Extended economic only,  8
Pyuthan,Both Sexes,70 - 74 Years,Seeking job only,0
Pyuthan,Both Sexes,70 - 74 Years,Non economic only,  1560
Pyuthan,Both Sexes,70 - 74 Years,Activity not stated,  16
Pyuthan,Both Sexes,75+ Years,Economic only,108
Pyuthan,Both Sexes,75+ Years,Extended economic only,  0
Pyuthan,Both Sexes,75+ Years,Seeking job only,0
Pyuthan,Both Sexes,75+ Years,Non economic only,  2363
Pyuthan,Both Sexes,75+ Years,Activity not stated,  43
Pyuthan,Male,10 - 14 Years,Economic only,92
Pyuthan,Male,10 - 14 Years,Extended economic only,  0
Pyuthan,Male,10 - 14 Years,Seeking job only,  15
Pyuthan,Male,10 - 14 Years,Non economic only, 13465
Pyuthan,Male,10 - 14 Years,Activity not stated, 123
Pyuthan,Male,15 - 19 Years,Economic only,  459
Pyuthan,Male,15 - 19 Years,Extended economic only,  0
Pyuthan,Male,15 - 19 Years,Seeking job only,0
Pyuthan,Male,15 - 19 Years,Non economic only,  5790
Pyuthan,Male,15 - 19 Years,Activity not stated,  33
Pyuthan,Male,20 - 24 Years,Economic only,1324
Pyuthan,Male,20 - 24 Years,Extended economic only,  0
Pyuthan,Male,20 - 24 Years,Seeking job only,  33
Pyuthan,Male,20 - 24 Years,Non economic only,  1014
Pyuthan,Male,20 - 24 Years,Activity not stated,  25
Pyuthan,Male,25 - 29 Years,Economic only,1638
Pyuthan,Male,25 - 29 Years,Extended economic only,  0
Pyuthan,Male,25 - 29 Years,Seeking job only,0
Pyuthan,Male,25 - 29 Years,Non economic only, 210
Pyuthan,Male,25 - 29 Years,Activity not stated,  54
Pyuthan,Male,30 - 34 Years,Economic only,1763
Pyuthan,Male,30 - 34 Years,Extended economic only,  0
Pyuthan,Male,30 - 34 Years,Seeking job only,  17
Pyuthan,Male,30 - 34 Years,Non economic only,  79
Pyuthan,Male,30 - 34 Years,Activity not stated,9
Pyuthan,Male,35 - 39 Years,Economic only,1512
Pyuthan,Male,35 - 39 Years,Extended economic only,  9
Pyuthan,Male,35 - 39 Years,Seeking job only,0
Pyuthan,Male,35 - 39 Years,Non economic only,  78
Pyuthan,Male,35 - 39 Years,Activity not stated,  17
Pyuthan,Male,40 - 44 Years,Economic only,1562
Pyuthan,Male,40 - 44 Years,Extended economic only, 16
Pyuthan,Male,40 - 44 Years,Seeking job only,0
Pyuthan,Male,40 - 44 Years,Non economic only, 103
Pyuthan,Male,40 - 44 Years,Activity not stated,0
Pyuthan,Male,45 - 49 Years,Economic only,1337
Pyuthan,Male,45 - 49 Years,Extended economic only,  0
Pyuthan,Male,45 - 49 Years,Seeking job only,0
Pyuthan,Male,45 - 49 Years,Non economic only, 108
Pyuthan,Male,45 - 49 Years,Activity not stated,0
Pyuthan,Male,50 - 54 Years,Economic only,1213
Pyuthan,Male,50 - 54 Years,Extended economic only,  0
Pyuthan,Male,50 - 54 Years,Seeking job only,0
Pyuthan,Male,50 - 54 Years,Non economic only, 172
Pyuthan,Male,50 - 54 Years,Activity not stated,8
Pyuthan,Male,55 - 59 Years,Economic only,  850
Pyuthan,Male,55 - 59 Years,Extended economic only,  0
Pyuthan,Male,55 - 59 Years,Seeking job only,0
Pyuthan,Male,55 - 59 Years,Non economic only, 154
Pyuthan,Male,55 - 59 Years,Activity not stated,0
Pyuthan,Male,60 - 64 Years,Economic only,  647
Pyuthan,Male,60 - 64 Years,Extended economic only,  0
Pyuthan,Male,60 - 64 Years,Seeking job only,9
Pyuthan,Male,60 - 64 Years,Non economic only, 362
Pyuthan,Male,60 - 64 Years,Activity not stated,0
Pyuthan,Male,65 - 69 Years,Economic only,  234
Pyuthan,Male,65 - 69 Years,Extended economic only,  8
Pyuthan,Male,65 - 69 Years,Seeking job only,0
Pyuthan,Male,65 - 69 Years,Non economic only, 403
Pyuthan,Male,65 - 69 Years,Activity not stated,8
Pyuthan,Male,70 - 74 Years,Economic only,  105
Pyuthan,Male,70 - 74 Years,Extended economic only,  0
Pyuthan,Male,70 - 74 Years,Seeking job only,0
Pyuthan,Male,70 - 74 Years,Non economic only, 622
Pyuthan,Male,70 - 74 Years,Activity not stated,  16
Pyuthan,Male,75+ Years,Economic only, 91
Pyuthan,Male,75+ Years,Extended economic only,  0
Pyuthan,Male,75+ Years,Seeking job only,0
Pyuthan,Male,75+ Years,Non economic only,  1012
Pyuthan,Male,75+ Years,Activity not stated,8
Pyuthan,Female,10 - 14 Years,Economic only,89
Pyuthan,Female,10 - 14 Years,Extended economic only,  0
Pyuthan,Female,10 - 14 Years,Seeking job only,8
Pyuthan,Female,10 - 14 Years,Non economic only, 13762
Pyuthan,Female,10 - 14 Years,Activity not stated, 106
Pyuthan,Female,15 - 19 Years,Economic only,  416
Pyuthan,Female,15 - 19 Years,Extended economic only,  0
Pyuthan,Female,15 - 19 Years,Seeking job only,0
Pyuthan,Female,15 - 19 Years,Non economic only,  6809
Pyuthan,Female,15 - 19 Years,Activity not stated,  88
Pyuthan,Female,20 - 24 Years,Economic only,  764
Pyuthan,Female,20 - 24 Years,Extended economic only,  0
Pyuthan,Female,20 - 24 Years,Seeking job only,8
Pyuthan,Female,20 - 24 Years,Non economic only,  1783
Pyuthan,Female,20 - 24 Years,Activity not stated,  64
Pyuthan,Female,25 - 29 Years,Economic only,  911
Pyuthan,Female,25 - 29 Years,Extended economic only,  8
Pyuthan,Female,25 - 29 Years,Seeking job only,0
Pyuthan,Female,25 - 29 Years,Non economic only, 393
Pyuthan,Female,25 - 29 Years,Activity not stated,  31
Pyuthan,Female,30 - 34 Years,Economic only,  712
Pyuthan,Female,30 - 34 Years,Extended economic only,  8
Pyuthan,Female,30 - 34 Years,Seeking job only,0
Pyuthan,Female,30 - 34 Years,Non economic only, 265
Pyuthan,Female,30 - 34 Years,Activity not stated,  17
Pyuthan,Female,35 - 39 Years,Economic only,  650
Pyuthan,Female,35 - 39 Years,Extended economic only, 16
Pyuthan,Female,35 - 39 Years,Seeking job only,0
Pyuthan,Female,35 - 39 Years,Non economic only, 243
Pyuthan,Female,35 - 39 Years,Activity not stated,0
Pyuthan,Female,40 - 44 Years,Economic only,  456
Pyuthan,Female,40 - 44 Years,Extended economic only,  8
Pyuthan,Female,40 - 44 Years,Seeking job only,0
Pyuthan,Female,40 - 44 Years,Non economic only, 212
Pyuthan,Female,40 - 44 Years,Activity not stated,8
Pyuthan,Female,45 - 49 Years,Economic only,  247
Pyuthan,Female,45 - 49 Years,Extended economic only,  0
Pyuthan,Female,45 - 49 Years,Seeking job only,0
Pyuthan,Female,45 - 49 Years,Non economic only, 293
Pyuthan,Female,45 - 49 Years,Activity not stated,8
Pyuthan,Female,50 - 54 Years,Economic only,  235
Pyuthan,Female,50 - 54 Years,Extended economic only,  0
Pyuthan,Female,50 - 54 Years,Seeking job only,0
Pyuthan,Female,50 - 54 Years,Non economic only, 348
Pyuthan,Female,50 - 54 Years,Activity not stated,0
Pyuthan,Female,55 - 59 Years,Economic only,  140
Pyuthan,Female,55 - 59 Years,Extended economic only,  0
Pyuthan,Female,55 - 59 Years,Seeking job only,0
Pyuthan,Female,55 - 59 Years,Non economic only, 357
Pyuthan,Female,55 - 59 Years,Activity not stated,  16
Pyuthan,Female,60 - 64 Years,Economic only,  111
Pyuthan,Female,60 - 64 Years,Extended economic only,  0
Pyuthan,Female,60 - 64 Years,Seeking job only,0
Pyuthan,Female,60 - 64 Years,Non economic only,  1021
Pyuthan,Female,60 - 64 Years,Activity not stated,9
Pyuthan,Female,65 - 69 Years,Economic only,65
Pyuthan,Female,65 - 69 Years,Extended economic only,  0
Pyuthan,Female,65 - 69 Years,Seeking job only,0
Pyuthan,Female,65 - 69 Years,Non economic only, 951
Pyuthan,Female,65 - 69 Years,Activity not stated,  16
Pyuthan,Female,70 - 74 Years,Economic only,53
Pyuthan,Female,70 - 74 Years,Extended economic only,  8
Pyuthan,Female,70 - 74 Years,Seeking job only,0
Pyuthan,Female,70 - 74 Years,Non economic only, 938
Pyuthan,Female,70 - 74 Years,Activity not stated,0
Pyuthan,Female,75+ Years,Economic only, 17
Pyuthan,Female,75+ Years,Extended economic only,  0
Pyuthan,Female,75+ Years,Seeking job only,0
Pyuthan,Female,75+ Years,Non economic only,  1350
Pyuthan,Female,75+ Years,Activity not stated,  35
Rolpa,Both Sexes,10 - 14 Years,Economic only,  353
Rolpa,Both Sexes,10 - 14 Years,Extended economic only,  49
Rolpa,Both Sexes,10 - 14 Years,Seeking job only,8
Rolpa,Both Sexes,10 - 14 Years,Non economic only, 30754
Rolpa,Both Sexes,10 - 14 Years,Activity not stated, 257
Rolpa,Both Sexes,15 - 19 Years,Economic only,1744
Rolpa,Both Sexes,15 - 19 Years,Extended economic only,  16
Rolpa,Both Sexes,15 - 19 Years,Seeking job only,  65
Rolpa,Both Sexes,15 - 19 Years,Non economic only, 16331
Rolpa,Both Sexes,15 - 19 Years,Activity not stated, 129
Rolpa,Both Sexes,20 - 24 Years,Economic only,3761
Rolpa,Both Sexes,20 - 24 Years,Extended economic only,  40
Rolpa,Both Sexes,20 - 24 Years,Seeking job only,  31
Rolpa,Both Sexes,20 - 24 Years,Non economic only,  3959
Rolpa,Both Sexes,20 - 24 Years,Activity not stated, 104
Rolpa,Both Sexes,25 - 29 Years,Economic only,3525
Rolpa,Both Sexes,25 - 29 Years,Extended economic only,  16
Rolpa,Both Sexes,25 - 29 Years,Seeking job only,  16
Rolpa,Both Sexes,25 - 29 Years,Non economic only,  1219
Rolpa,Both Sexes,25 - 29 Years,Activity not stated,  64
Rolpa,Both Sexes,30 - 34 Years,Economic only,3056
Rolpa,Both Sexes,30 - 34 Years,Extended economic only,  25
Rolpa,Both Sexes,30 - 34 Years,Seeking job only,  16
Rolpa,Both Sexes,30 - 34 Years,Non economic only, 717
Rolpa,Both Sexes,30 - 34 Years,Activity not stated,  59
Rolpa,Both Sexes,35 - 39 Years,Economic only,2908
Rolpa,Both Sexes,35 - 39 Years,Extended economic only,8
Rolpa,Both Sexes,35 - 39 Years,Seeking job only,  34
Rolpa,Both Sexes,35 - 39 Years,Non economic only, 529
Rolpa,Both Sexes,35 - 39 Years,Activity not stated,  17
Rolpa,Both Sexes,40 - 44 Years,Economic only,2469
Rolpa,Both Sexes,40 - 44 Years,Extended economic only,0
Rolpa,Both Sexes,40 - 44 Years,Seeking job only,  17
Rolpa,Both Sexes,40 - 44 Years,Non economic only, 610
Rolpa,Both Sexes,40 - 44 Years,Activity not stated,8
Rolpa,Both Sexes,45 - 49 Years,Economic only,2191
Rolpa,Both Sexes,45 - 49 Years,Extended economic only,  24
Rolpa,Both Sexes,45 - 49 Years,Seeking job only,8
Rolpa,Both Sexes,45 - 49 Years,Non economic only, 640
Rolpa,Both Sexes,45 - 49 Years,Activity not stated,  31
Rolpa,Both Sexes,50 - 54 Years,Economic only,2014
Rolpa,Both Sexes,50 - 54 Years,Extended economic only,7
Rolpa,Both Sexes,50 - 54 Years,Seeking job only,8
Rolpa,Both Sexes,50 - 54 Years,Non economic only, 645
Rolpa,Both Sexes,50 - 54 Years,Activity not stated,  30
Rolpa,Both Sexes,55 - 59 Years,Economic only,1400
Rolpa,Both Sexes,55 - 59 Years,Extended economic only,0
Rolpa,Both Sexes,55 - 59 Years,Seeking job only,8
Rolpa,Both Sexes,55 - 59 Years,Non economic only, 783
Rolpa,Both Sexes,55 - 59 Years,Activity not stated,  25
Rolpa,Both Sexes,60 - 64 Years,Economic only,1138
Rolpa,Both Sexes,60 - 64 Years,Extended economic only,0
Rolpa,Both Sexes,60 - 64 Years,Seeking job only,0
Rolpa,Both Sexes,60 - 64 Years,Non economic only,  1140
Rolpa,Both Sexes,60 - 64 Years,Activity not stated,  17
Rolpa,Both Sexes,65 - 69 Years,Economic only,  586
Rolpa,Both Sexes,65 - 69 Years,Extended economic only,0
Rolpa,Both Sexes,65 - 69 Years,Seeking job only,0
Rolpa,Both Sexes,65 - 69 Years,Non economic only,  1381
Rolpa,Both Sexes,65 - 69 Years,Activity not stated,  25
Rolpa,Both Sexes,70 - 74 Years,Economic only,  306
Rolpa,Both Sexes,70 - 74 Years,Extended economic only,0
Rolpa,Both Sexes,70 - 74 Years,Seeking job only,0
Rolpa,Both Sexes,70 - 74 Years,Non economic only,  1727
Rolpa,Both Sexes,70 - 74 Years,Activity not stated,0
Rolpa,Both Sexes,75+ Years,Economic only,239
Rolpa,Both Sexes,75+ Years,Extended economic only,0
Rolpa,Both Sexes,75+ Years,Seeking job only,0
Rolpa,Both Sexes,75+ Years,Non economic only,  2030
Rolpa,Both Sexes,75+ Years,Activity not stated,  23
Rolpa,Male,10 - 14 Years,Economic only,  127
Rolpa,Male,10 - 14 Years,Extended economic only,  8
Rolpa,Male,10 - 14 Years,Seeking job only, 0
Rolpa,Male,10 - 14 Years,Non economic only, 15394
Rolpa,Male,10 - 14 Years,Activity not stated, 160
Rolpa,Male,15 - 19 Years,Economic only,  826
Rolpa,Male,15 - 19 Years,Extended economic only,  0
Rolpa,Male,15 - 19 Years,Seeking job only,40
Rolpa,Male,15 - 19 Years,Non economic only,  7856
Rolpa,Male,15 - 19 Years,Activity not stated,  40
Rolpa,Male,20 - 24 Years,Economic only,1908
Rolpa,Male,20 - 24 Years,Extended economic only, 23
Rolpa,Male,20 - 24 Years,Seeking job only,31
Rolpa,Male,20 - 24 Years,Non economic only,  1854
Rolpa,Male,20 - 24 Years,Activity not stated,  39
Rolpa,Male,25 - 29 Years,Economic only,2093
Rolpa,Male,25 - 29 Years,Extended economic only,  8
Rolpa,Male,25 - 29 Years,Seeking job only, 8
Rolpa,Male,25 - 29 Years,Non economic only, 346
Rolpa,Male,25 - 29 Years,Activity not stated,  32
Rolpa,Male,30 - 34 Years,Economic only,1850
Rolpa,Male,30 - 34 Years,Extended economic only, 25
Rolpa,Male,30 - 34 Years,Seeking job only,16
Rolpa,Male,30 - 34 Years,Non economic only, 132
Rolpa,Male,30 - 34 Years,Activity not stated,  16
Rolpa,Male,35 - 39 Years,Economic only,1889
Rolpa,Male,35 - 39 Years,Extended economic only,  0
Rolpa,Male,35 - 39 Years,Seeking job only,26
Rolpa,Male,35 - 39 Years,Non economic only,  44
Rolpa,Male,35 - 39 Years,Activity not stated,9
Rolpa,Male,40 - 44 Years,Economic only,1756
Rolpa,Male,40 - 44 Years,Extended economic only,  0
Rolpa,Male,40 - 44 Years,Seeking job only,17
Rolpa,Male,40 - 44 Years,Non economic only, 149
Rolpa,Male,40 - 44 Years,Activity not stated,0
Rolpa,Male,45 - 49 Years,Economic only,1568
Rolpa,Male,45 - 49 Years,Extended economic only, 16
Rolpa,Male,45 - 49 Years,Seeking job only, 8
Rolpa,Male,45 - 49 Years,Non economic only,  64
Rolpa,Male,45 - 49 Years,Activity not stated,8
Rolpa,Male,50 - 54 Years,Economic only,1459
Rolpa,Male,50 - 54 Years,Extended economic only,  0
Rolpa,Male,50 - 54 Years,Seeking job only, 8
Rolpa,Male,50 - 54 Years,Non economic only, 142
Rolpa,Male,50 - 54 Years,Activity not stated,8
Rolpa,Male,55 - 59 Years,Economic only,1103
Rolpa,Male,55 - 59 Years,Extended economic only,  0
Rolpa,Male,55 - 59 Years,Seeking job only, 8
Rolpa,Male,55 - 59 Years,Non economic only, 181
Rolpa,Male,55 - 59 Years,Activity not stated,0
Rolpa,Male,60 - 64 Years,Economic only,  829
Rolpa,Male,60 - 64 Years,Extended economic only,  0
Rolpa,Male,60 - 64 Years,Seeking job only, 0
Rolpa,Male,60 - 64 Years,Non economic only, 274
Rolpa,Male,60 - 64 Years,Activity not stated,0
Rolpa,Male,65 - 69 Years,Economic only,  403
Rolpa,Male,65 - 69 Years,Extended economic only,  0
Rolpa,Male,65 - 69 Years,Seeking job only, 0
Rolpa,Male,65 - 69 Years,Non economic only, 489
Rolpa,Male,65 - 69 Years,Activity not stated,8
Rolpa,Male,70 - 74 Years,Economic only,  216
Rolpa,Male,70 - 74 Years,Extended economic only,  0
Rolpa,Male,70 - 74 Years,Seeking job only, 0
Rolpa,Male,70 - 74 Years,Non economic only, 690
Rolpa,Male,70 - 74 Years,Activity not stated,0
Rolpa,Male,75+ Years,Economic only,160
Rolpa,Male,75+ Years,Extended economic only,  0
Rolpa,Male,75+ Years,Seeking job only, 0
Rolpa,Male,75+ Years,Non economic only, 860
Rolpa,Male,75+ Years,Activity not stated,7
Rolpa,Female,10 - 14 Years,Economic only,  226
Rolpa,Female,10 - 14 Years,Extended economic only,  40
Rolpa,Female,10 - 14 Years,Seeking job only,8
Rolpa,Female,10 - 14 Years,Non economic only, 15360
Rolpa,Female,10 - 14 Years,Activity not stated,  97
Rolpa,Female,15 - 19 Years,Economic only,  918
Rolpa,Female,15 - 19 Years,Extended economic only,  16
Rolpa,Female,15 - 19 Years,Seeking job only,  24
Rolpa,Female,15 - 19 Years,Non economic only,  8475
Rolpa,Female,15 - 19 Years,Activity not stated,  89
Rolpa,Female,20 - 24 Years,Economic only,1853
Rolpa,Female,20 - 24 Years,Extended economic only,  16
Rolpa,Female,20 - 24 Years,Seeking job only,0
Rolpa,Female,20 - 24 Years,Non economic only,  2106
Rolpa,Female,20 - 24 Years,Activity not stated,  65
Rolpa,Female,25 - 29 Years,Economic only,1433
Rolpa,Female,25 - 29 Years,Extended economic only,8
Rolpa,Female,25 - 29 Years,Seeking job only,8
Rolpa,Female,25 - 29 Years,Non economic only, 872
Rolpa,Female,25 - 29 Years,Activity not stated,  32
Rolpa,Female,30 - 34 Years,Economic only,1205
Rolpa,Female,30 - 34 Years,Extended economic only,0
Rolpa,Female,30 - 34 Years,Seeking job only,0
Rolpa,Female,30 - 34 Years,Non economic only, 586
Rolpa,Female,30 - 34 Years,Activity not stated,  42
Rolpa,Female,35 - 39 Years,Economic only,1019
Rolpa,Female,35 - 39 Years,Extended economic only,8
Rolpa,Female,35 - 39 Years,Seeking job only,8
Rolpa,Female,35 - 39 Years,Non economic only, 485
Rolpa,Female,35 - 39 Years,Activity not stated,8
Rolpa,Female,40 - 44 Years,Economic only,  713
Rolpa,Female,40 - 44 Years,Extended economic only,0
Rolpa,Female,40 - 44 Years,Seeking job only,0
Rolpa,Female,40 - 44 Years,Non economic only, 461
Rolpa,Female,40 - 44 Years,Activity not stated,8
Rolpa,Female,45 - 49 Years,Economic only,  623
Rolpa,Female,45 - 49 Years,Extended economic only,8
Rolpa,Female,45 - 49 Years,Seeking job only,0
Rolpa,Female,45 - 49 Years,Non economic only, 576
Rolpa,Female,45 - 49 Years,Activity not stated,  23
Rolpa,Female,50 - 54 Years,Economic only,  554
Rolpa,Female,50 - 54 Years,Extended economic only,7
Rolpa,Female,50 - 54 Years,Seeking job only,0
Rolpa,Female,50 - 54 Years,Non economic only, 503
Rolpa,Female,50 - 54 Years,Activity not stated,  22
Rolpa,Female,55 - 59 Years,Economic only,  297
Rolpa,Female,55 - 59 Years,Extended economic only,0
Rolpa,Female,55 - 59 Years,Seeking job only,0
Rolpa,Female,55 - 59 Years,Non economic only, 602
Rolpa,Female,55 - 59 Years,Activity not stated,  25
Rolpa,Female,60 - 64 Years,Economic only,  309
Rolpa,Female,60 - 64 Years,Extended economic only,0
Rolpa,Female,60 - 64 Years,Seeking job only,0
Rolpa,Female,60 - 64 Years,Non economic only, 866
Rolpa,Female,60 - 64 Years,Activity not stated,  17
Rolpa,Female,65 - 69 Years,Economic only,  183
Rolpa,Female,65 - 69 Years,Extended economic only,0
Rolpa,Female,65 - 69 Years,Seeking job only,0
Rolpa,Female,65 - 69 Years,Non economic only, 891
Rolpa,Female,65 - 69 Years,Activity not stated,  17
Rolpa,Female,70 - 74 Years,Economic only,90
Rolpa,Female,70 - 74 Years,Extended economic only,0
Rolpa,Female,70 - 74 Years,Seeking job only,0
Rolpa,Female,70 - 74 Years,Non economic only,  1036
Rolpa,Female,70 - 74 Years,Activity not stated,0
Rolpa,Female,75+ Years,Economic only, 79
Rolpa,Female,75+ Years,Extended economic only,0
Rolpa,Female,75+ Years,Seeking job only,0
Rolpa,Female,75+ Years,Non economic only,  1170
Rolpa,Female,75+ Years,Activity not stated,  16
Rukum,Both Sexes,10 - 14 Years,Economic only,  186
Rukum,Both Sexes,10 - 14 Years,Extended economic only,  16
Rukum,Both Sexes,10 - 14 Years,Seeking job only,  24
Rukum,Both Sexes,10 - 14 Years,Non economic only, 29730
Rukum,Both Sexes,10 - 14 Years,Activity not stated, 235
Rukum,Both Sexes,15 - 19 Years,Economic only,1494
Rukum,Both Sexes,15 - 19 Years,Extended economic only,  32
Rukum,Both Sexes,15 - 19 Years,Seeking job only,  66
Rukum,Both Sexes,15 - 19 Years,Non economic only, 18918
Rukum,Both Sexes,15 - 19 Years,Activity not stated, 179
Rukum,Both Sexes,20 - 24 Years,Economic only,4556
Rukum,Both Sexes,20 - 24 Years,Extended economic only,  72
Rukum,Both Sexes,20 - 24 Years,Seeking job only, 122
Rukum,Both Sexes,20 - 24 Years,Non economic only,  7392
Rukum,Both Sexes,20 - 24 Years,Activity not stated,  88
Rukum,Both Sexes,25 - 29 Years,Economic only,5600
Rukum,Both Sexes,25 - 29 Years,Extended economic only,  59
Rukum,Both Sexes,25 - 29 Years,Seeking job only,  59
Rukum,Both Sexes,25 - 29 Years,Non economic only,  2677
Rukum,Both Sexes,25 - 29 Years,Activity not stated, 109
Rukum,Both Sexes,30 - 34 Years,Economic only,4792
Rukum,Both Sexes,30 - 34 Years,Extended economic only,  55
Rukum,Both Sexes,30 - 34 Years,Seeking job only,  40
Rukum,Both Sexes,30 - 34 Years,Non economic only,  1695
Rukum,Both Sexes,30 - 34 Years,Activity not stated,  32
Rukum,Both Sexes,35 - 39 Years,Economic only,4578
Rukum,Both Sexes,35 - 39 Years,Extended economic only,  49
Rukum,Both Sexes,35 - 39 Years,Seeking job only,  25
Rukum,Both Sexes,35 - 39 Years,Non economic only,  1339
Rukum,Both Sexes,35 - 39 Years,Activity not stated,  41
Rukum,Both Sexes,40 - 44 Years,Economic only,4162
Rukum,Both Sexes,40 - 44 Years,Extended economic only,  54
Rukum,Both Sexes,40 - 44 Years,Seeking job only,8
Rukum,Both Sexes,40 - 44 Years,Non economic only,  1420
Rukum,Both Sexes,40 - 44 Years,Activity not stated,  54
Rukum,Both Sexes,45 - 49 Years,Economic only,3423
Rukum,Both Sexes,45 - 49 Years,Extended economic only,8
Rukum,Both Sexes,45 - 49 Years,Seeking job only,0
Rukum,Both Sexes,45 - 49 Years,Non economic only,  1318
Rukum,Both Sexes,45 - 49 Years,Activity not stated,  41
Rukum,Both Sexes,50 - 54 Years,Economic only,3049
Rukum,Both Sexes,50 - 54 Years,Extended economic only,8
Rukum,Both Sexes,50 - 54 Years,Seeking job only,8
Rukum,Both Sexes,50 - 54 Years,Non economic only,  1128
Rukum,Both Sexes,50 - 54 Years,Activity not stated,  23
Rukum,Both Sexes,55 - 59 Years,Economic only,2244
Rukum,Both Sexes,55 - 59 Years,Extended economic only,  25
Rukum,Both Sexes,55 - 59 Years,Seeking job only,0
Rukum,Both Sexes,55 - 59 Years,Non economic only,  1125
Rukum,Both Sexes,55 - 59 Years,Activity not stated,  17
Rukum,Both Sexes,60 - 64 Years,Economic only,1755
Rukum,Both Sexes,60 - 64 Years,Extended economic only,  24
Rukum,Both Sexes,60 - 64 Years,Seeking job only,0
Rukum,Both Sexes,60 - 64 Years,Non economic only,  1901
Rukum,Both Sexes,60 - 64 Years,Activity not stated,8
Rukum,Both Sexes,65 - 69 Years,Economic only,  988
Rukum,Both Sexes,65 - 69 Years,Extended economic only,  25
Rukum,Both Sexes,65 - 69 Years,Seeking job only,0
Rukum,Both Sexes,65 - 69 Years,Non economic only,  1409
Rukum,Both Sexes,65 - 69 Years,Activity not stated,9
Rukum,Both Sexes,70 - 74 Years,Economic only,  486
Rukum,Both Sexes,70 - 74 Years,Extended economic only,  19
Rukum,Both Sexes,70 - 74 Years,Seeking job only,0
Rukum,Both Sexes,70 - 74 Years,Non economic only,  1381
Rukum,Both Sexes,70 - 74 Years,Activity not stated,9
Rukum,Both Sexes,75+ Years,Economic only,143
Rukum,Both Sexes,75+ Years,Extended economic only,0
Rukum,Both Sexes,75+ Years,Seeking job only,0
Rukum,Both Sexes,75+ Years,Non economic only,  1447
Rukum,Both Sexes,75+ Years,Activity not stated,  15
Rukum,Male,10 - 14 Years,Economic only,97
Rukum,Male,10 - 14 Years,Extended economic only,  16
Rukum,Male,10 - 14 Years,Seeking job only,  16
Rukum,Male,10 - 14 Years,Non economic only, 14558
Rukum,Male,10 - 14 Years,Activity not stated, 105
Rukum,Male,15 - 19 Years,Economic only,  649
Rukum,Male,15 - 19 Years,Extended economic only,8
Rukum,Male,15 - 19 Years,Seeking job only,  66
