District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Literacy Status,Gender,Population under 16 years of age living with,Number
 Salyan,,,,,,Literate,  Female,Mother,2431
 Salyan,,,,,,Literate,  Female,Father,157
 Salyan,,,,,,Literate,  Female,Father and step mother,49
 Salyan,,,,,,Literate,  Female,Mother and step father,58
 Salyan,,,,,,Literate,  Female,Other relatives,223
 Salyan,,,,,,Literate,  Female,Employer,8
 Salyan,,,,,,Literate,  Female,Others,527
 Salyan,,,,,,Literate,  Female,Not stated,107
 Salyan,,,,,,Literacy not stated,  Female,Parents,49
 Salyan,,,,,,Literacy not stated,  Female,Mother,0
 Salyan,,,,,,Literacy not stated,  Female,Father,0
 Salyan,,,,,,Literacy not stated,  Female,Father and step mother,0
 Salyan,,,,,,Literacy not stated,  Female,Mother and step father,0
 Salyan,,,,,,Literacy not stated,  Female,Other relatives,0
 Salyan,,,,,,Literacy not stated,  Female,Employer,0
 Salyan,,,,,,Literacy not stated,  Female,Others,0
 Salyan,,,,,,Literacy not stated,  Female,Not stated,0
 Dang,,,,,,Illiterate,Male,Parents,6669
 Dang,,,,,,Illiterate,Male,Mother,764
 Dang,,,,,,Illiterate,Male,Father,89
 Dang,,,,,,Illiterate,Male,Father and step mother,50
 Dang,,,,,,Illiterate,Male,Mother and step father,8
 Dang,,,,,,Illiterate,Male,Other relatives,25
 Dang,,,,,,Illiterate,Male,Employer,8
 Dang,,,,,,Illiterate,Male,Others,100
 Dang,,,,,,Illiterate,Male,Not stated,42
 Dang,,,,,,Literate,Male,Parents,61177
 Dang,,,,,,Literate,Male,Mother,7907
 Dang,,,,,,Literate,Male,Father,502
 Dang,,,,,,Literate,Male,Father and step mother,181
 Dang,,,,,,Literate,Male,Mother and step father,41
 Dang,,,,,,Literate,Male,Other relatives,498
 Dang,,,,,,Literate,Male,Employer,57
 Dang,,,,,,Literate,Male,Others,1535
 Dang,,,,,,Literate,Male,Not stated,424
 Dang,,,,,,Literacy not stated,Male,Parents,25
 Dang,,,,,,Literacy not stated,Male,Mother,0
 Dang,,,,,,Literacy not stated,Male,Father,0
 Dang,,,,,,Literacy not stated,Male,Father and step mother,0
 Dang,,,,,,Literacy not stated,Male,Mother and step father,0
 Dang,,,,,,Literacy not stated,Male,Other relatives,0
 Dang,,,,,,Literacy not stated,Male,Employer,0
 Dang,,,,,,Literacy not stated,Male,Others,0
 Dang,,,,,,Literacy not stated,Male,Not stated,0
 Dang,,,,,,Illiterate,  Female,Parents,6525
 Dang,,,,,,Illiterate,  Female,Mother,729
 Dang,,,,,,Illiterate,  Female,Father,24
 Dang,,,,,,Illiterate,  Female,Father and step mother,24
 Dang,,,,,,Illiterate,  Female,Mother and step father,0
 Dang,,,,,,Illiterate,  Female,Other relatives,8
 Dang,,,,,,Illiterate,  Female,Employer,0
 Dang,,,,,,Illiterate,  Female,Others,65
 Dang,,,,,,Illiterate,  Female,Not stated,105
 Dang,,,,,,Literate,  Female,Parents,60415
 Dang,,,,,,Literate,  Female,Mother,8338
 Dang,,,,,,Literate,  Female,Father,445
 Dang,,,,,,Literate,  Female,Father and step mother,154
 Dang,,,,,,Literate,  Female,Mother and step father,32
 Dang,,,,,,Literate,  Female,Other relatives,372
 Dang,,,,,,Literate,  Female,Employer,24
 Dang,,,,,,Literate,  Female,Others,1361
 Dang,,,,,,Literate,  Female,Not stated,493
 Dang,,,,,,Literacy not stated,  Female,Parents,41
 Dang,,,,,,Literacy not stated,  Female,Mother,0
 Dang,,,,,,Literacy not stated,  Female,Father,0
 Dang,,,,,,Literacy not stated,  Female,Father and step mother,0
 Dang,,,,,,Literacy not stated,  Female,Mother and step father,0
 Dang,,,,,,Literacy not stated,  Female,Other relatives,0
 Dang,,,,,,Literacy not stated,  Female,Employer,0
 Dang,,,,,,Literacy not stated,  Female,Others,0
 Dang,,,,,,Literacy not stated,  Female,Not stated,0
 Banke,,,,,,Illiterate,Male,Parents,13517
 Banke,,,,,,Illiterate,Male,Mother,635
 Banke,,,,,,Illiterate,Male,Father,152
 Banke,,,,,,Illiterate,Male,Father and step mother,16
 Banke,,,,,,Illiterate,Male,Mother and step father,8
 Banke,,,,,,Illiterate,Male,Other relatives,104
 Banke,,,,,,Illiterate,Male,Employer,0
 Banke,,,,,,Illiterate,Male,Others,82
 Banke,,,,,,Illiterate,Male,Not stated,139
 Banke,,,,,,Literate,Male,Parents,50081
 Banke,,,,,,Literate,Male,Mother,4771
 Banke,,,,,,Literate,Male,Father,527
 Banke,,,,,,Literate,Male,Father and step mother,172
 Banke,,,,,,Literate,Male,Mother and step father,25
 Banke,,,,,,Literate,Male,Other relatives,494
 Banke,,,,,,Literate,Male,Employer,24
 Banke,,,,,,Literate,Male,Others,1183
 Banke,,,,,,Literate,Male,Not stated,290
 Banke,,,,,,Literacy not stated,Male,Parents,48
 Banke,,,,,,Literacy not stated,Male,Mother,0
 Banke,,,,,,Literacy not stated,Male,Father,0
 Banke,,,,,,Literacy not stated,Male,Father and step mother,0
 Banke,,,,,,Literacy not stated,Male,Mother and step father,0
 Banke,,,,,,Literacy not stated,Male,Other relatives,0
 Banke,,,,,,Literacy not stated,Male,Employer,0
 Banke,,,,,,Literacy not stated,Male,Others,0
 Banke,,,,,,Literacy not stated,Male,Not stated,0
 Banke,,,,,,Illiterate,  Female,Parents,13980
 Banke,,,,,,Illiterate,  Female,Mother,874
 Banke,,,,,,Illiterate,  Female,Father,73
 Banke,,,,,,Illiterate,  Female,Father and step mother,48
 Banke,,,,,,Illiterate,  Female,Mother and step father,0
 Banke,,,,,,Illiterate,  Female,Other relatives,65
 Banke,,,,,,Illiterate,  Female,Employer,8
 Banke,,,,,,Illiterate,  Female,Others,162
 Banke,,,,,,Illiterate,  Female,Not stated,154
 Banke,,,,,,Literate,  Female,Parents,45710
 Banke,,,,,,Literate,  Female,Mother,4555
 Banke,,,,,,Literate,  Female,Father,479
 Banke,,,,,,Literate,  Female,Father and step mother,72
 Banke,,,,,,Literate,  Female,Mother and step father,48
 Banke,,,,,,Literate,  Female,Other relatives,532
 Banke,,,,,,Literate,  Female,Employer,37
 Banke,,,,,,Literate,  Female,Others,1179
 Banke,,,,,,Literate,  Female,Not stated,276
 Banke,,,,,,Literacy not stated,  Female,Parents,97
 Banke,,,,,,Literacy not stated,  Female,Mother,0
 Banke,,,,,,Literacy not stated,  Female,Father,0
 Banke,,,,,,Literacy not stated,  Female,Father and step mother,0
 Banke,,,,,,Literacy not stated,  Female,Mother and step father,0
 Banke,,,,,,Literacy not stated,  Female,Other relatives,0
 Banke,,,,,,Literacy not stated,  Female,Employer,0
 Banke,,,,,,Literacy not stated,  Female,Others,0
 Banke,,,,,,Literacy not stated,  Female,Not stated,0
 Bardiya,,,,,,Illiterate,Male,Parents,5426
 Bardiya,,,,,,Illiterate,Male,Mother,553
 Bardiya,,,,,,Illiterate,Male,Father,94
 Bardiya,,,,,,Illiterate,Male,Father and step mother,8
 Bardiya,,,,,,Illiterate,Male,Mother and step father,8
 Bardiya,,,,,,Illiterate,Male,Other relatives,40
 Bardiya,,,,,,Illiterate,Male,Employer,8
 Bardiya,,,,,,Illiterate,Male,Others,85
 Bardiya,,,,,,Illiterate,Male,Not stated,32
 Bardiya,,,,,,Literate,Male,Parents,47007
 Bardiya,,,,,,Literate,Male,Mother,4348
 Bardiya,,,,,,Literate,Male,Father,537
 Bardiya,,,,,,Literate,Male,Father and step mother,112
 Bardiya,,,,,,Literate,Male,Mother and step father,8
 Bardiya,,,,,,Literate,Male,Other relatives,249
 Bardiya,,,,,,Literate,Male,Employer,58
 Bardiya,,,,,,Literate,Male,Others,1037
 Bardiya,,,,,,Literate,Male,Not stated,121
 Bardiya,,,,,,Literacy not stated,Male,Parents,23
 Bardiya,,,,,,Literacy not stated,Male,Mother,0
 Bardiya,,,,,,Literacy not stated,Male,Father,0
 Bardiya,,,,,,Literacy not stated,Male,Father and step mother,0
 Bardiya,,,,,,Literacy not stated,Male,Mother and step father,0
 Bardiya,,,,,,Literacy not stated,Male,Other relatives,0
 Bardiya,,,,,,Literacy not stated,Male,Employer,0
 Bardiya,,,,,,Literacy not stated,Male,Others,0
 Bardiya,,,,,,Literacy not stated,Male,Not stated,0
 Bardiya,,,,,,Illiterate,  Female,Parents,5300
 Bardiya,,,,,,Illiterate,  Female,Mother,430
 Bardiya,,,,,,Illiterate,  Female,Father,64
 Bardiya,,,,,,Illiterate,  Female,Father and step mother,16
 Bardiya,,,,,,Illiterate,  Female,Mother and step father,16
 Bardiya,,,,,,Illiterate,  Female,Other relatives,16
 Bardiya,,,,,,Illiterate,  Female,Employer,0
 Bardiya,,,,,,Illiterate,  Female,Others,97
 Bardiya,,,,,,Illiterate,  Female,Not stated,8
 Bardiya,,,,,,Literate,  Female,Parents,46845
 Bardiya,,,,,,Literate,  Female,Mother,4088
 Bardiya,,,,,,Literate,  Female,Father,512
 Bardiya,,,,,,Literate,  Female,Father and step mother,105
 Bardiya,,,,,,Literate,  Female,Mother and step father,16
 Bardiya,,,,,,Literate,  Female,Other relatives,290
 Bardiya,,,,,,Literate,  Female,Employer,64
 Bardiya,,,,,,Literate,  Female,Others,1109
 Bardiya,,,,,,Literate,  Female,Not stated,137
 Bardiya,,,,,,Literacy not stated,  Female,Parents,8
 Bardiya,,,,,,Literacy not stated,  Female,Mother,0
 Bardiya,,,,,,Literacy not stated,  Female,Father,0
 Bardiya,,,,,,Literacy not stated,  Female,Father and step mother,0
 Bardiya,,,,,,Literacy not stated,  Female,Mother and step father,0
 Bardiya,,,,,,Literacy not stated,  Female,Other relatives,0
 Bardiya,,,,,,Literacy not stated,  Female,Employer,0
 Bardiya,,,,,,Literacy not stated,  Female,Others,0
 Bardiya,,,,,,Literacy not stated,  Female,Not stated,0
 Surkhet,,,,,,Illiterate,Male,Parents,5110
 Surkhet,,,,,,Illiterate,Male,Mother,534
 Surkhet,,,,,,Illiterate,Male,Father,64
 Surkhet,,,,,,Illiterate,Male,Father and step mother,40
 Surkhet,,,,,,Illiterate,Male,Mother and step father,16
 Surkhet,,,,,,Illiterate,Male,Other relatives,16
 Surkhet,,,,,,Illiterate,Male,Employer,8
 Surkhet,,,,,,Illiterate,Male,Others,168
 Surkhet,,,,,,Illiterate,Male,Not stated,24
 Surkhet,,,,,,Literate,Male,Parents,39750
 Surkhet,,,,,,Literate,Male,Mother,4147
 Surkhet,,,,,,Literate,Male,Father,419
 Surkhet,,,,,,Literate,Male,Father and step mother,153
 Surkhet,,,,,,Literate,Male,Mother and step father,32
 Surkhet,,,,,,Literate,Male,Other relatives,305
 Surkhet,,,,,,Literate,Male,Employer,24
 Surkhet,,,,,,Literate,Male,Others,1618
 Surkhet,,,,,,Literate,Male,Not stated,201
 Surkhet,,,,,,Literacy not stated,Male,Parents,24
 Surkhet,,,,,,Literacy not stated,Male,Mother,0
 Surkhet,,,,,,Literacy not stated,Male,Father,0
 Surkhet,,,,,,Literacy not stated,Male,Father and step mother,0
 Surkhet,,,,,,Literacy not stated,Male,Mother and step father,0
 Surkhet,,,,,,Literacy not stated,Male,Other relatives,0
 Surkhet,,,,,,Literacy not stated,Male,Employer,0
 Surkhet,,,,,,Literacy not stated,Male,Others,0
 Surkhet,,,,,,Literacy not stated,Male,Not stated,0
 Surkhet,,,,,,Illiterate,  Female,Parents,5777
 Surkhet,,,,,,Illiterate,  Female,Mother,526
 Surkhet,,,,,,Illiterate,  Female,Father,40
 Surkhet,,,,,,Illiterate,  Female,Father and step mother,8
 Surkhet,,,,,,Illiterate,  Female,Mother and step father,24
 Surkhet,,,,,,Illiterate,  Female,Other relatives,24
 Surkhet,,,,,,Illiterate,  Female,Employer,0
 Surkhet,,,,,,Illiterate,  Female,Others,127
 Surkhet,,,,,,Illiterate,  Female,Not stated,56
 Surkhet,,,,,,Literate,  Female,Parents,37691
 Surkhet,,,,,,Literate,  Female,Mother,4172
 Surkhet,,,,,,Literate,  Female,Father,378
 Surkhet,,,,,,Literate,  Female,Father and step mother,88
 Surkhet,,,,,,Literate,  Female,Mother and step father,64
 Surkhet,,,,,,Literate,  Female,Other relatives,329
 Surkhet,,,,,,Literate,  Female,Employer,32
 Surkhet,,,,,,Literate,  Female,Others,1349
 Surkhet,,,,,,Literate,  Female,Not stated,249
 Surkhet,,,,,,Literacy not stated,  Female,Parents,0
 Surkhet,,,,,,Literacy not stated,  Female,Mother,0
 Surkhet,,,,,,Literacy not stated,  Female,Father,0
 Surkhet,,,,,,Literacy not stated,  Female,Father and step mother,0
 Surkhet,,,,,,Literacy not stated,  Female,Mother and step father,0
 Surkhet,,,,,,Literacy not stated,  Female,Other relatives,0
 Surkhet,,,,,,Literacy not stated,  Female,Employer,0
 Surkhet,,,,,,Literacy not stated,  Female,Others,0
 Surkhet,,,,,,Literacy not stated,  Female,Not stated,0
 Dailekh,,,,,,Illiterate,Male,Parents,5815
 Dailekh,,,,,,Illiterate,Male,Mother,431
 Dailekh,,,,,,Illiterate,Male,Father,52
 Dailekh,,,,,,Illiterate,Male,Father and step mother,28
 Dailekh,,,,,,Illiterate,Male,Mother and step father,9
 Dailekh,,,,,,Illiterate,Male,Other relatives,42
 Dailekh,,,,,,Illiterate,Male,Employer,1
 Dailekh,,,,,,Illiterate,Male,Others,34
 Dailekh,,,,,,Illiterate,Male,Not stated,6
 Dailekh,,,,,,Literate,Male,Parents,31518
 Dailekh,,,,,,Literate,Male,Mother,2473
 Dailekh,,,,,,Literate,Male,Father,270
 Dailekh,,,,,,Literate,Male,Father and step mother,84
 Dailekh,,,,,,Literate,Male,Mother and step father,10
 Dailekh,,,,,,Literate,Male,Other relatives,165
 Dailekh,,,,,,Literate,Male,Employer,4
 Dailekh,,,,,,Literate,Male,Others,402
 Dailekh,,,,,,Literate,Male,Not stated,109
 Dailekh,,,,,,Literacy not stated,Male,Parents,8
 Dailekh,,,,,,Literacy not stated,Male,Mother,1
 Dailekh,,,,,,Literacy not stated,Male,Father,0
 Dailekh,,,,,,Literacy not stated,Male,Father and step mother,0
 Dailekh,,,,,,Literacy not stated,Male,Mother and step father,0
 Dailekh,,,,,,Literacy not stated,Male,Other relatives,0
 Dailekh,,,,,,Literacy not stated,Male,Employer,0
 Dailekh,,,,,,Literacy not stated,Male,Others,0
 Dailekh,,,,,,Literacy not stated,Male,Not stated,0
 Dailekh,,,,,,Illiterate,  Female,Parents,6250
 Dailekh,,,,,,Illiterate,  Female,Mother,379
 Dailekh,,,,,,Illiterate,  Female,Father,24
 Dailekh,,,,,,Illiterate,  Female,Father and step mother,9
 Dailekh,,,,,,Illiterate,  Female,Mother and step father,1
 Dailekh,,,,,,Illiterate,  Female,Other relatives,16
 Dailekh,,,,,,Illiterate,  Female,Employer,0
 Dailekh,,,,,,Illiterate,  Female,Others,58
 Dailekh,,,,,,Illiterate,  Female,Not stated,83
 Dailekh,,,,,,Literate,  Female,Parents,31423
 Dailekh,,,,,,Literate,  Female,Mother,2373
 Dailekh,,,,,,Literate,  Female,Father,142
 Dailekh,,,,,,Literate,  Female,Father and step mother,90
 Dailekh,,,,,,Literate,  Female,Mother and step father,59
 Dailekh,,,,,,Literate,  Female,Other relatives,163
 Dailekh,,,,,,Literate,  Female,Employer,3
 Dailekh,,,,,,Literate,  Female,Others,500
 Dailekh,,,,,,Literate,  Female,Not stated,161
 Dailekh,,,,,,Literacy not stated,  Female,Parents,8
 Dailekh,,,,,,Literacy not stated,  Female,Mother,0
 Dailekh,,,,,,Literacy not stated,  Female,Father,0
 Dailekh,,,,,,Literacy not stated,  Female,Father and step mother,0
 Dailekh,,,,,,Literacy not stated,  Female,Mother and step father,0
 Dailekh,,,,,,Literacy not stated,  Female,Other relatives,0
 Dailekh,,,,,,Literacy not stated,  Female,Employer,0
 Dailekh,,,,,,Literacy not stated,  Female,Others,0
 Dailekh,,,,,,Literacy not stated,  Female,Not stated,0
 Jajarkot,,,,,,Illiterate,Male,Parents,5339
 Jajarkot,,,,,,Illiterate,Male,Mother,212
 Jajarkot,,,,,,Illiterate,Male,Father,82
 Jajarkot,,,,,,Illiterate,Male,Father and step mother,41
 Jajarkot,,,,,,Illiterate,Male,Mother and step father,25
 Jajarkot,,,,,,Illiterate,Male,Other relatives,0
 Jajarkot,,,,,,Illiterate,Male,Employer,0
 Jajarkot,,,,,,Illiterate,Male,Others,65
 Jajarkot,,,,,,Illiterate,Male,Not stated,25
 Jajarkot,,,,,,Literate,Male,Parents,20407
 Jajarkot,,,,,,Literate,Male,Mother,660
 Jajarkot,,,,,,Literate,Male,Father,282
 Jajarkot,,,,,,Literate,Male,Father and step mother,88
 Jajarkot,,,,,,Literate,Male,Mother and step father,16
 Jajarkot,,,,,,Literate,Male,Other relatives,64
 Jajarkot,,,,,,Literate,Male,Employer,0
 Jajarkot,,,,,,Literate,Male,Others,290
 Jajarkot,,,,,,Literate,Male,Not stated,41
 Jajarkot,,,,,,Literacy not stated,Male,Parents,0
 Jajarkot,,,,,,Literacy not stated,Male,Mother,0
 Jajarkot,,,,,,Literacy not stated,Male,Father,0
 Jajarkot,,,,,,Literacy not stated,Male,Father and step mother,0
 Jajarkot,,,,,,Literacy not stated,Male,Mother and step father,0
 Jajarkot,,,,,,Literacy not stated,Male,Other relatives,0
 Jajarkot,,,,,,Literacy not stated,Male,Employer,0
 Jajarkot,,,,,,Literacy not stated,Male,Others,0
 Jajarkot,,,,,,Literacy not stated,Male,Not stated,0
 Jajarkot,,,,,,Illiterate,  Female,Parents,5472
 Jajarkot,,,,,,Illiterate,  Female,Mother,155
 Jajarkot,,,,,,Illiterate,  Female,Father,49
 Jajarkot,,,,,,Illiterate,  Female,Father and step mother,49
 Jajarkot,,,,,,Illiterate,  Female,Mother and step father,8
 Jajarkot,,,,,,Illiterate,  Female,Other relatives,0
 Jajarkot,,,,,,Illiterate,  Female,Employer,0
 Jajarkot,,,,,,Illiterate,  Female,Others,57
 Jajarkot,,,,,,Illiterate,  Female,Not stated,16
 Jajarkot,,,,,,Literate,  Female,Parents,20458
 Jajarkot,,,,,,Literate,  Female,Mother,839
 Jajarkot,,,,,,Literate,  Female,Father,297
 Jajarkot,,,,,,Literate,  Female,Father and step mother,116
 Jajarkot,,,,,,Literate,  Female,Mother and step father,25
 Jajarkot,,,,,,Literate,  Female,Other relatives,74
 Jajarkot,,,,,,Literate,  Female,Employer,0
 Jajarkot,,,,,,Literate,  Female,Others,338
 Jajarkot,,,,,,Literate,  Female,Not stated,66
 Jajarkot,,,,,,Literacy not stated,  Female,Parents,8
 Jajarkot,,,,,,Literacy not stated,  Female,Mother,0
 Jajarkot,,,,,,Literacy not stated,  Female,Father,0
 Jajarkot,,,,,,Literacy not stated,  Female,Father and step mother,0
 Jajarkot,,,,,,Literacy not stated,  Female,Mother and step father,0
 Jajarkot,,,,,,Literacy not stated,  Female,Other relatives,0
 Jajarkot,,,,,,Literacy not stated,  Female,Employer,0
 Jajarkot,,,,,,Literacy not stated,  Female,Others,0
 Jajarkot,,,,,,Literacy not stated,  Female,Not stated,0
 Dolpa,,,,,,Illiterate,Male,Parents,932
 Dolpa,,,,,,Illiterate,Male,Mother,46
 Dolpa,,,,,,Illiterate,Male,Father,22
 Dolpa,,,,,,Illiterate,Male,Father and step mother,5
 Dolpa,,,,,,Illiterate,Male,Mother and step father,3
 Dolpa,,,,,,Illiterate,Male,Other relatives,4
 Dolpa,,,,,,Illiterate,Male,Employer,2
 Dolpa,,,,,,Illiterate,Male,Others,23
 Dolpa,,,,,,Illiterate,Male,Not stated,12
 Dolpa,,,,,,Literate,Male,Parents,3607
 Dolpa,,,,,,Literate,Male,Mother,214
 Dolpa,,,,,,Literate,Male,Father,83
 Dolpa,,,,,,Literate,Male,Father and step mother,14
 Dolpa,,,,,,Literate,Male,Mother and step father,9
 Dolpa,,,,,,Literate,Male,Other relatives,34
 Dolpa,,,,,,Literate,Male,Employer,1
 Dolpa,,,,,,Literate,Male,Others,72
 Dolpa,,,,,,Literate,Male,Not stated,10
 Dolpa,,,,,,Literacy not stated,Male,Parents,1
 Dolpa,,,,,,Literacy not stated,Male,Mother,0
 Dolpa,,,,,,Literacy not stated,Male,Father,0
 Dolpa,,,,,,Literacy not stated,Male,Father and step mother,0
 Dolpa,,,,,,Literacy not stated,Male,Mother and step father,0
 Dolpa,,,,,,Literacy not stated,Male,Other relatives,0
 Dolpa,,,,,,Literacy not stated,Male,Employer,0
 Dolpa,,,,,,Literacy not stated,Male,Others,1
 Dolpa,,,,,,Literacy not stated,Male,Not stated,0
 Dolpa,,,,,,Illiterate,  Female,Parents,1253
 Dolpa,,,,,,Illiterate,  Female,Mother,76
 Dolpa,,,,,,Illiterate,  Female,Father,33
 Dolpa,,,,,,Illiterate,  Female,Father and step mother,6
 Dolpa,,,,,,Illiterate,  Female,Mother and step father,4
 Dolpa,,,,,,Illiterate,  Female,Other relatives,14
 Dolpa,,,,,,Illiterate,  Female,Employer,3
 Dolpa,,,,,,Illiterate,  Female,Others,30
 Dolpa,,,,,,Illiterate,  Female,Not stated,6
 Dolpa,,,,,,Literate,  Female,Parents,3650
 Dolpa,,,,,,Literate,  Female,Mother,233
 Dolpa,,,,,,Literate,  Female,Father,41
 Dolpa,,,,,,Literate,  Female,Father and step mother,14
 Dolpa,,,,,,Literate,  Female,Mother and step father,10
 Dolpa,,,,,,Literate,  Female,Other relatives,37
 Dolpa,,,,,,Literate,  Female,Employer,0
 Dolpa,,,,,,Literate,  Female,Others,72
 Dolpa,,,,,,Literate,  Female,Not stated,9
 Dolpa,,,,,,Literacy not stated,  Female,Parents,2
 Dolpa,,,,,,Literacy not stated,  Female,Mother,0
 Dolpa,,,,,,Literacy not stated,  Female,Father,0
 Dolpa,,,,,,Literacy not stated,  Female,Father and step mother,0
 Dolpa,,,,,,Literacy not stated,  Female,Mother and step father,0
 Dolpa,,,,,,Literacy not stated,  Female,Other relatives,0
 Dolpa,,,,,,Literacy not stated,  Female,Employer,0
 Dolpa,,,,,,Literacy not stated,  Female,Others,0
 Dolpa,,,,,,Literacy not stated,  Female,Not stated,0
 Jumla,,,,,,Illiterate,Male,Parents,3118
 Jumla,,,,,,Illiterate,Male,Mother,187
 Jumla,,,,,,Illiterate,Male,Father,16
 Jumla,,,,,,Illiterate,Male,Father and step mother,8
 Jumla,,,,,,Illiterate,Male,Mother and step father,8
 Jumla,,,,,,Illiterate,Male,Other relatives,8
 Jumla,,,,,,Illiterate,Male,Employer,8
 Jumla,,,,,,Illiterate,Male,Others,16
 Jumla,,,,,,Illiterate,Male,Not stated,8
 Jumla,,,,,,Literate,Male,Parents,11971
 Jumla,,,,,,Literate,Male,Mother,413
 Jumla,,,,,,Literate,Male,Father,167
 Jumla,,,,,,Literate,Male,Father and step mother,8
 Jumla,,,,,,Literate,Male,Mother and step father,8
 Jumla,,,,,,Literate,Male,Other relatives,167
 Jumla,,,,,,Literate,Male,Employer,16
 Jumla,,,,,,Literate,Male,Others,175
 Jumla,,,,,,Literate,Male,Not stated,32
 Jumla,,,,,,Literacy not stated,Male,Parents,0
 Jumla,,,,,,Literacy not stated,Male,Mother,0
 Jumla,,,,,,Literacy not stated,Male,Father,0
 Jumla,,,,,,Literacy not stated,Male,Father and step mother,0
 Jumla,,,,,,Literacy not stated,Male,Mother and step father,0
 Jumla,,,,,,Literacy not stated,Male,Other relatives,0
 Jumla,,,,,,Literacy not stated,Male,Employer,0
 Jumla,,,,,,Literacy not stated,Male,Others,0
 Jumla,,,,,,Literacy not stated,Male,Not stated,0
 Jumla,,,,,,Illiterate,  Female,Parents,3472
 Jumla,,,,,,Illiterate,  Female,Mother,174
 Jumla,,,,,,Illiterate,  Female,Father,47
 Jumla,,,,,,Illiterate,  Female,Father and step mother,0
 Jumla,,,,,,Illiterate,  Female,Mother and step father,8
 Jumla,,,,,,Illiterate,  Female,Other relatives,16
 Jumla,,,,,,Illiterate,  Female,Employer,0
 Jumla,,,,,,Illiterate,  Female,Others,24
 Jumla,,,,,,Illiterate,  Female,Not stated,55
 Jumla,,,,,,Literate,  Female,Parents,11481
 Jumla,,,,,,Literate,  Female,Mother,529
 Jumla,,,,,,Literate,  Female,Father,126
 Jumla,,,,,,Literate,  Female,Father and step mother,24
 Jumla,,,,,,Literate,  Female,Mother and step father,16
 Jumla,,,,,,Literate,  Female,Other relatives,103
 Jumla,,,,,,Literate,  Female,Employer,8
 Jumla,,,,,,Literate,  Female,Others,126
 Jumla,,,,,,Literate,  Female,Not stated,16
 Jumla,,,,,,Literacy not stated,  Female,Parents,0
 Jumla,,,,,,Literacy not stated,  Female,Mother,0
 Jumla,,,,,,Literacy not stated,  Female,Father,0
 Jumla,,,,,,Literacy not stated,  Female,Father and step mother,0
 Jumla,,,,,,Literacy not stated,  Female,Mother and step father,0
 Jumla,,,,,,Literacy not stated,  Female,Other relatives,0
 Jumla,,,,,,Literacy not stated,  Female,Employer,0
 Jumla,,,,,,Literacy not stated,  Female,Others,0
 Jumla,,,,,,Literacy not stated,  Female,Not stated,0
 Kalikot,,,,,,Illiterate,Male,Parents,3855
 Kalikot,,,,,,Illiterate,Male,Mother,213
 Kalikot,,,,,,Illiterate,Male,Father,49
 Kalikot,,,,,,Illiterate,Male,Father and step mother,8
 Kalikot,,,,,,Illiterate,Male,Mother and step father,0
 Kalikot,,,,,,Illiterate,Male,Other relatives,8
 Kalikot,,,,,,Illiterate,Male,Employer,0
 Kalikot,,,,,,Illiterate,Male,Others,24
 Kalikot,,,,,,Illiterate,Male,Not stated,24
 Kalikot,,,,,,Literate,Male,Parents,16209
 Kalikot,,,,,,Literate,Male,Mother,813
 Kalikot,,,,,,Literate,Male,Father,276
 Kalikot,,,,,,Literate,Male,Father and step mother,49
 Kalikot,,,,,,Literate,Male,Mother and step father,24
 Kalikot,,,,,,Literate,Male,Other relatives,73
 Kalikot,,,,,,Literate,Male,Employer,8
 Kalikot,,,,,,Literate,Male,Others,195
 Kalikot,,,,,,Literate,Male,Not stated,24
 Kalikot,,,,,,Literacy not stated,Male,Parents,0
 Kalikot,,,,,,Literacy not stated,Male,Mother,0
 Kalikot,,,,,,Literacy not stated,Male,Father,0
 Kalikot,,,,,,Literacy not stated,Male,Father and step mother,0
 Kalikot,,,,,,Literacy not stated,Male,Mother and step father,0
 Kalikot,,,,,,Literacy not stated,Male,Other relatives,0
 Kalikot,,,,,,Literacy not stated,Male,Employer,0
 Kalikot,,,,,,Literacy not stated,Male,Others,0
 Kalikot,,,,,,Literacy not stated,Male,Not stated,0
 Kalikot,,,,,,Illiterate,  Female,Parents,3971
 Kalikot,,,,,,Illiterate,  Female,Mother,182
 Kalikot,,,,,,Illiterate,  Female,Father,63
 Kalikot,,,,,,Illiterate,  Female,Father and step mother,39
 Kalikot,,,,,,Illiterate,  Female,Mother and step father,0
 Kalikot,,,,,,Illiterate,  Female,Other relatives,16
 Kalikot,,,,,,Illiterate,  Female,Employer,0
 Kalikot,,,,,,Illiterate,  Female,Others,63
 Kalikot,,,,,,Illiterate,  Female,Not stated,8
 Kalikot,,,,,,Literate,  Female,Parents,15739
 Kalikot,,,,,,Literate,  Female,Mother,747
 Kalikot,,,,,,Literate,  Female,Father,235
 Kalikot,,,,,,Literate,  Female,Father and step mother,63
 Kalikot,,,,,,Literate,  Female,Mother and step father,16
 Kalikot,,,,,,Literate,  Female,Other relatives,110
 Kalikot,,,,,,Literate,  Female,Employer,0
 Kalikot,,,,,,Literate,  Female,Others,141
 Kalikot,,,,,,Literate,  Female,Not stated,39
 Kalikot,,,,,,Literacy not stated,  Female,Parents,16
 Kalikot,,,,,,Literacy not stated,  Female,Mother,0
 Kalikot,,,,,,Literacy not stated,  Female,Father,0
 Kalikot,,,,,,Literacy not stated,  Female,Father and step mother,0
 Kalikot,,,,,,Literacy not stated,  Female,Mother and step father,0
